section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,32,1763649024562237748,1763649024847602748,285,847.685,234.161,3.4244950502491167,22.933368307853097
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,33,1763649024902602748,1763649025097726748,195,933.987,283.557,9.168325503699847,19.69101197702701
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,34,1763649025232851748,1763649025598224748,365,879.62,355.762,5.43713766695576,15.125007857728605
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,35,1763649025653349748,1763649025923477748,270,754.221,200.958,-2.973650402372569,25.06288728700352
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,36,1763649025968597748,1763649026253846748,285,828.445,366.886,2.051363717397601,14.433277099760094
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,37,1763649026298846748,1763649026924468748,626,783.548,254.818,-0.9370851983051091,21.626105605223483
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,38,1763649026969468748,1763649027154717748,185,829.065,392.233,2.0839000303088024,12.802640914861058
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,39,1763649027199731748,1763649027414966748,215,791.782,316.308,-0.37246938101300286,17.686075843540895
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,40,1763649027454966748,1763649027710215748,255,910.134,312.813,7.517235750775211,17.850793253625117
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,41,1763649027755215748,1763649027950464748,195,832.057,475.894,2.258506670233169,7.407909162371857
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,42,1763649028045474748,1763649028195590748,150,780.611,337.445,-1.111772126040157,16.328401051848807
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,43,1763649028225713748,1763649028465976748,240,737.43,335.196,-3.978800677708477,16.459545546423914
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,44,1763649028505961748,1763649028736210748,230,858.141,359.199,4.015627246750565,14.9164951573306
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,45,1763649028776210748,1763649028956342748,180,919.711,316.081,8.148858934503608,17.631596107817685
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,46,1763649028996334748,1763649029091462748,95,847.988,321.899,3.369471539876246,17.31515207937847
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,47,1763649029221583748,1763649029401837748,180,843.217,442.434,2.9939926389276237,9.565066482631078
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,48,1763649029421833748,1763649029526832748,105,812.97,423.166,1.0222002039834974,10.81261548050273
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,49,1763649029571957748,1763649029767081748,195,899.345,279.895,6.8522606153434396,19.966445822823
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,50,1763649029817206748,1763649030012330748,195,703.029,316.882,-6.286373385986149,17.611058275361238
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,51,1763649030142454748,1763649030472703748,330,946.618,284.554,10.011999051559188,19.60954095713109
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,52,1763649030517828748,1763649030748077748,230,815.954,343.856,1.2321129820703824,15.915822359973902
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,53,1763649030793076748,1763649030958201748,165,708.983,312.625,-5.895524909095528,17.888456426012027
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,54,1763649030993200748,1763649031168450748,175,680.707,295.598,-7.8115547937070495,18.95139272362924
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,55,1763649031223451748,1763649031528698748,305,960.493,259.122,11.01454712022094,21.207073998826488
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,56,1763649031568835748,1763649031733960748,165,1033.257,254.967,15.930184882834595,21.31891526660709
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,57,1763649031773947748,1763649032074196748,300,867.346,367.695,4.616570389677404,14.366179083325218
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,58,1763649032109321748,1763649032489694748,380,805.274,353.352,0.5235228984885948,15.307025992545338
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,59,1763649032509694748,1763649032699818748,190,807.013,373.121,0.6365779585769689,14.035819581358933
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,60,1763649032859954748,1763649033115191748,255,866.919,318.562,4.632298581630917,17.518699681007455
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,61,1763649033160320748,1763649033350440748,190,763.883,332.326,-2.2241997445461874,16.65380125841677
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,62,1763649033400440748,1763649033605689748,205,678.665,317.246,-7.907881748448112,17.56517971491088
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,63,1763649033650692748,1763649033855938748,205,604.93,403.75,-12.60774795247757,11.952963081928296
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,64,1763649034211186748,1763649034406436748,195,913.049,403.978,7.584201370076081,12.007066011692093
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,65,1763649034476435748,1763649034641692748,165,647.209,413.715,-9.828445531112552,11.35793619003622
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,66,1763649034686684748,1763649034846809748,160,604.59,467.909,-12.533232059009698,7.851338391358889
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,67,1763649034871809748,1763649035067058748,195,669.842,436.945,-8.323757599580789,9.884184172039587
