section id,recording id,blink id,start timestamp [ns],end timestamp [ns],duration [ms]
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,1,1763649014332775748,1763649014598024748,265
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,2,1763649015749144748,1763649015959268748,210
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,3,1763649016044395748,1763649016309644748,265
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,4,1763649016925138748,1763649017155387748,230
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,5,1763649017315511748,1763649017540761748,225
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,6,1763649020173258748,1763649020438497748,265
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,7,1763649022044997748,1763649022255121748,210
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,8,1763649022970739748,1763649023180985748,210
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,9,1763649023706482748,1763649023941739748,235
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,10,1763649025087726748,1763649025297975748,210
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,11,1763649029987330748,1763649030187454748,200
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,12,1763649036528426748,1763649036713551748,185
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,13,1763649037264048748,1763649037479307748,215
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,14,1763649040171786748,1763649040407040748,235
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,15,1763649042258652748,1763649042468901748,210
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,16,1763649042508901748,1763649042734150748,225
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,17,1763649042774150748,1763649043014399748,240
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,18,1763649043875271748,1763649044100395748,225
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,19,1763649045927137748,1763649046197386748,270
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,20,1763649047173257748,1763649047448506748,275
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,21,1763649049525498748,1763649049735623748,210
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,22,1763649050080996748,1763649050271121748,190
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,23,1763649053278984748,1763649053549233748,270
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,24,1763649054710234748,1763649054960490748,250
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,25,1763649063448450748,1763649063698586748,250
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,26,1763649066736439748,1763649066986688748,250
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,27,1763649067316937748,1763649067537191748,220
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,28,1763649071540925748,1763649071751049748,210
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,29,1763649076480536748,1763649076665661748,185
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,30,1763649081024775748,1763649081229909748,205
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,31,1763649091709625748,1763649091934874748,225
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,32,1763649093771495748,1763649093966745748,195
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,33,1763649094081870748,1763649094337119748,255
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,34,1763649096984488748,1763649097209738748,225
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,35,1763649098050486748,1763649098370861748,320
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,36,1763649101013230748,1763649101238480748,225
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,37,1763649102409602748,1763649102604727748,195
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,38,1763649105417677748,1763649105562810748,145
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,39,1763649110197184748,1763649110387317748,190
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,40,1763649110417310748,1763649110642560748,225
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,41,1763649113084828748,1763649113330064748,245
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,42,1763649114926567748,1763649115146817748,220
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,43,1763649116503075748,1763649116713194748,210
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,44,1763649116933445748,1763649117113570748,180
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,45,1763649127793586748,1763649128013714748,220
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,46,1763649134790099748,1763649135060346748,270
