section id,recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,26,1763649022985861748,1763649023105985748,120,398.4884948730469,25.61685562133789,4712.39306640625,12677.130859375
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,27,1763649023426234748,1763649023466234748,40,114.25439453125,7.380195140838623,2854.44677734375,4340.36669921875
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,28,1763649023716482748,1763649023931731748,215,326.2437744140625,20.947492599487305,5506.1982421875,13699.3818359375
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,29,1763649024066856748,1763649024091856748,25,38.04115676879883,2.4354162216186523,1846.5323486328125,2637.0830078125
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,30,1763649024246980748,1763649024301992748,55,130.64047241210938,8.303522109985352,2299.15234375,4916.48876953125
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,31,1763649024522229748,1763649024562237748,40,147.37303161621094,9.389589309692383,3289.955810546875,5610.9072265625
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,32,1763649024847602748,1763649024902602748,55,33.08671951293945,2.118008852005005,1347.5743408203125,1973.4730224609375
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,33,1763649025097726748,1763649025232851748,135,115.71829986572266,7.427707672119141,7204.11474609375,20933.6484375
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,34,1763649025598224748,1763649025653349748,55,201.52249145507812,12.952923774719238,3950.400634765625,6824.408203125
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,35,1763649025923477748,1763649025968597748,45,203.01010131835938,13.030320167541504,4778.61328125,7101.3359375
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,36,1763649026253846748,1763649026298846748,45,190.4689483642578,12.240508079528809,4495.349609375,6545.1328125
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,37,1763649026924468748,1763649026969468748,45,98.15681457519531,6.331254005432129,2124.245849609375,3321.767822265625
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,38,1763649027154717748,1763649027199731748,45,76.4205551147461,4.926414966583252,1826.7611083984375,2444.43115234375
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,39,1763649027414966748,1763649027454966748,40,119.14603424072266,7.635758876800537,2963.1123046875,4277.294921875
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,40,1763649027710215748,1763649027755215748,45,172.84483337402344,11.153825759887695,3871.842529296875,5561.3125
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,41,1763649027950464748,1763649028045474748,95,184.60049438476562,11.924078941345215,2893.28759765625,5557.66015625
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,42,1763649028195590748,1763649028225713748,30,59.95888137817383,3.8474984169006348,2030.4990234375,2487.60986328125
