frame,track_id,class_id,class_name,conf,x1,y1,x2,y2
0,1,2,car,0.9015472531318665,0,407,413,861
0,2,2,car,0.8738754391670227,276,357,580,557
0,3,2,car,0.8097224235534668,528,345,650,450
0,4,2,car,0.4880787134170532,639,328,714,391
0,5,0,person,0.362953782081604,1161,318,1196,419
0,6,2,car,0.3445039987564087,842,313,930,398
0,7,0,person,0.3305601179599762,1091,299,1122,408
1,1,2,car,0.9241271615028381,0,412,406,880
1,2,2,car,0.833186149597168,269,359,580,564
1,3,2,car,0.8511832356452942,530,348,653,455
1,4,2,car,0.6037358641624451,639,329,715,393
1,7,0,person,0.4518488347530365,1097,299,1131,414
2,1,2,car,0.927842378616333,0,421,399,913
2,2,2,car,0.8778708577156067,263,362,580,565
2,3,2,car,0.8183928728103638,528,349,655,457
2,4,2,car,0.5579069256782532,643,331,716,394
3,1,2,car,0.9194208383560181,0,426,388,936
3,2,2,car,0.8407579660415649,250,359,578,565
3,3,2,car,0.865513265132904,521,345,652,453
3,4,2,car,0.45404911041259766,649,328,717,389
3,6,2,car,0.36742183566093445,852,316,942,404
4,1,2,car,0.9182970523834229,0,428,374,961
4,2,2,car,0.8143081068992615,240,353,574,566
4,3,2,car,0.799517035484314,513,337,647,445
4,4,2,car,0.4179058074951172,645,319,716,382
4,6,2,car,0.38764992356300354,852,307,945,398
4,5,0,person,0.36284923553466797,1189,308,1221,409
5,1,2,car,0.9138117432594299,0,430,357,982
5,2,2,car,0.8488306403160095,221,346,564,563
5,3,2,car,0.7804463505744934,507,328,646,439
5,4,2,car,0.3759918510913849,641,310,709,372
6,1,2,car,0.8463650941848755,0,435,338,979
6,2,2,car,0.8599535822868347,196,343,557,569
6,3,2,car,0.7795887589454651,498,326,638,434
6,4,2,car,0.6486760377883911,633,302,711,367
6,7,0,person,0.3984489142894745,1126,262,1163,388
7,1,2,car,0.8627418279647827,0,444,320,932
7,2,2,car,0.851951003074646,176,343,549,566
7,3,2,car,0.8117705583572388,488,326,631,438
7,4,2,car,0.3857567310333252,629,302,703,364
7,12,6,train,0.607654869556427,1336,72,1600,577
7,7,0,person,0.4370153844356537,1128,262,1170,390
8,1,2,car,0.8499143719673157,0,456,300,919
8,2,2,car,0.8447438478469849,158,347,541,570
8,3,2,car,0.815346360206604,480,331,626,445
8,4,2,car,0.396646648645401,625,306,688,370
8,12,6,train,0.3779676556587219,1349,73,1600,598
8,7,0,person,0.44907712936401367,1129,269,1170,398
9,1,2,car,0.8516706824302673,0,472,280,911
9,2,2,car,0.8378567695617676,138,354,534,588
9,3,2,car,0.7370398640632629,470,337,622,454
9,4,2,car,0.5086544752120972,620,312,694,380
9,12,6,train,0.32965052127838135,1361,75,1600,603
9,7,0,person,0.44786930084228516,1131,277,1176,408
9,17,2,car,0.41682755947113037,841,289,926,355
9,18,2,car,0.3946162164211273,571,323,658,423
10,1,2,car,0.8062337040901184,0,485,260,905
10,2,2,car,0.8896417021751404,117,357,523,607
10,3,2,car,0.8458341360092163,461,339,617,460
10,4,2,car,0.47246822714805603,621,314,694,381
10,12,6,train,0.5335444808006287,1370,80,1600,607
10,7,0,person,0.574262261390686,1133,281,1182,412
10,18,2,car,0.3171336054801941,567,324,654,416
11,1,2,car,0.7331318855285645,1,500,242,901
11,2,2,car,0.8347842693328857,96,353,518,609
11,3,2,car,0.7674666047096252,454,334,608,455
11,4,2,car,0.3823090195655823,617,309,691,377
11,12,6,train,0.3032712936401367,1385,76,1600,605
11,7,0,person,0.5451707243919373,1137,277,1187,405
11,18,2,car,0.3824431002140045,529,320,647,416
11,21,0,person,0.4295995235443115,724,277,753,357
11,17,2,car,0.4571637809276581,836,293,927,361
12,1,2,car,0.6969431042671204,0,522,222,902
12,2,2,car,0.9017984867095947,77,355,510,610
12,3,2,car,0.7478581070899963,446,333,604,454
12,12,6,train,0.5707356333732605,1395,73,1599,603
12,7,0,person,0.6121755242347717,1141,277,1190,410
12,18,2,car,0.3332216441631317,526,317,645,423
12,21,0,person,0.5541774034500122,723,281,751,357
13,1,2,car,0.5901945233345032,0,547,198,904
13,2,2,car,0.8613473176956177,55,361,500,624
13,3,2,car,0.8242083787918091,435,338,596,463
13,7,0,person,0.5823108553886414,1143,281,1190,417
13,4,2,car,0.43975260853767395,600,310,680,381
13,17,2,car,0.41107842326164246,831,289,916,369
14,1,2,car,0.7193523645401001,0,571,175,888
14,2,2,car,0.8921571969985962,32,366,489,642
14,3,2,car,0.8485386967658997,421,339,588,469
14,7,0,person,0.5506932735443115,1143,281,1192,418
14,4,2,car,0.45485082268714905,596,310,674,383
14,17,2,car,0.42407143115997314,824,288,913,358
14,18,2,car,0.40625622868537903,520,324,628,434
15,1,2,car,0.8075626492500305,0,586,153,894
15,2,2,car,0.8984065651893616,13,367,481,651
15,3,2,car,0.6705987453460693,413,336,586,470
15,7,0,person,0.5057374835014343,1146,273,1198,415
15,4,2,car,0.5077745318412781,582,309,669,380
15,21,0,person,0.4811585247516632,708,282,735,359
16,1,2,car,0.7844132781028748,1,600,131,893
16,2,2,car,0.8657769560813904,0,365,478,676
16,3,2,car,0.7651289701461792,408,336,588,473
16,7,0,person,0.4418295621871948,1157,273,1209,417
16,4,2,car,0.4574694335460663,591,307,671,381
16,21,0,person,0.3900987207889557,709,282,737,361
17,1,2,car,0.7346579432487488,1,617,109,919
17,2,2,car,0.8702273368835449,0,376,476,695
17,3,2,car,0.7501050233840942,405,344,587,483
17,7,0,person,0.49403199553489685,1166,285,1221,431
17,4,2,car,0.4676332473754883,595,318,675,391
17,21,0,person,0.5729089975357056,711,294,741,370
17,18,2,car,0.35360583662986755,492,331,621,449
18,1,2,car,0.5283937454223633,1,636,91,941
18,2,2,car,0.8766905069351196,0,388,475,706
18,3,2,car,0.7900855541229248,404,347,616,493
18,7,0,person,0.4695357382297516,1180,295,1237,442
18,21,0,person,0.5364111065864563,717,306,745,379
18,31,2,car,0.380869597196579,577,332,648,406
18,6,2,car,0.30689218640327454,844,328,970,437
18,17,2,car,0.3505350649356842,837,301,942,368
19,1,2,car,0.6039063930511475,1,655,74,967
19,2,2,car,0.8916581869125366,0,393,476,731
19,3,2,car,0.6626021265983582,407,352,631,498
19,21,0,person,0.4330030679702759,723,305,753,383
19,31,2,car,0.4235670864582062,582,331,653,409
19,4,2,car,0.3899869918823242,621,327,687,400
19,18,2,car,0.33721300959587097,501,341,632,441
20,1,2,car,0.5941975712776184,1,685,55,1004
20,2,2,car,0.9132634401321411,0,396,477,745
20,3,2,car,0.6290708780288696,408,353,639,501
20,21,0,person,0.5073661208152771,727,303,761,383
