section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
3238656b-4917-4066-8f2c-4ff830f71724,10b70589-7ade-4b5e-809c-58d60f8a590d,1,1763649620701606344,1763649620961856344,260,1027.23,553.178,14.855023064774636,2.376754878314533
3238656b-4917-4066-8f2c-4ff830f71724,10b70589-7ade-4b5e-809c-58d60f8a590d,2,1763649620996856344,1763649621141981344,145,916.937,547.68,7.742541510808098,2.7569515276548597
3238656b-4917-4066-8f2c-4ff830f71724,10b70589-7ade-4b5e-809c-58d60f8a590d,3,1763649621177119344,1763649621562356344,385,911.979,507.92,7.435408876725234,5.321206081031562
3238656b-4917-4066-8f2c-4ff830f71724,10b70589-7ade-4b5e-809c-58d60f8a590d,4,1763649621762608344,1763649622157980344,395,960.327,42.041,12.021191637944888,35.03784700864823
3238656b-4917-4066-8f2c-4ff830f71724,10b70589-7ade-4b5e-809c-58d60f8a590d,5,1763649622418230344,1763649622593355344,175,826.876,532.979,1.914774343486069,3.7186067965038734
3238656b-4917-4066-8f2c-4ff830f71724,10b70589-7ade-4b5e-809c-58d60f8a590d,6,1763649622773480344,1763649622908605344,135,920.095,322.956,8.162264481230489,17.19160613125303
3238656b-4917-4066-8f2c-4ff830f71724,10b70589-7ade-4b5e-809c-58d60f8a590d,7,1763649623028730344,1763649623369104344,340,1203.278,333.679,26.823558592789972,15.921251106315575
3238656b-4917-4066-8f2c-4ff830f71724,10b70589-7ade-4b5e-809c-58d60f8a590d,8,1763649623519229344,1763649623679354344,160,609.474,413.539,-12.293605430639793,11.332742827255577
3238656b-4917-4066-8f2c-4ff830f71724,10b70589-7ade-4b5e-809c-58d60f8a590d,9,1763649623729354344,1763649623889608344,160,600.041,231.804,-13.438192754167673,22.884507230124008
3238656b-4917-4066-8f2c-4ff830f71724,10b70589-7ade-4b5e-809c-58d60f8a590d,10,1763649623954604344,1763649624084729344,130,923.297,485.807,8.180895558852631,6.740914734168749
3238656b-4917-4066-8f2c-4ff830f71724,10b70589-7ade-4b5e-809c-58d60f8a590d,11,1763649624154854344,1763649624450104344,295,540.113,290.34,-17.22159648962662,19.04293569775702
3238656b-4917-4066-8f2c-4ff830f71724,10b70589-7ade-4b5e-809c-58d60f8a590d,12,1763649624580229344,1763649624770353344,190,795.21,334.396,-0.14305393280239184,16.525087614724928
3238656b-4917-4066-8f2c-4ff830f71724,10b70589-7ade-4b5e-809c-58d60f8a590d,13,1763649624865478344,1763649625075603344,210,737.53,303.657,-4.000385801137783,18.481879292638226
3238656b-4917-4066-8f2c-4ff830f71724,10b70589-7ade-4b5e-809c-58d60f8a590d,14,1763649625190728344,1763649625295853344,105,1304.318,257.551,34.12820734294936,20.208591829247602
3238656b-4917-4066-8f2c-4ff830f71724,10b70589-7ade-4b5e-809c-58d60f8a590d,15,1763649625586103344,1763649625836365344,250,799.669,380.201,0.15244155182463318,13.580747911078575
3238656b-4917-4066-8f2c-4ff830f71724,10b70589-7ade-4b5e-809c-58d60f8a590d,16,1763649625901478344,1763649626086603344,185,821.118,289.781,1.5922358958857787,19.384021607723735
3238656b-4917-4066-8f2c-4ff830f71724,10b70589-7ade-4b5e-809c-58d60f8a590d,17,1763649626141603344,1763649626281728344,140,824.238,399.357,1.7649158015448794,12.345048191362634
3238656b-4917-4066-8f2c-4ff830f71724,10b70589-7ade-4b5e-809c-58d60f8a590d,18,1763649626336852344,1763649626516977344,180,972.027,200.672,12.006162805058597,24.900654478696197
3238656b-4917-4066-8f2c-4ff830f71724,10b70589-7ade-4b5e-809c-58d60f8a590d,19,1763649626597103344,1763649626817227344,220,556.891,323.404,-15.977331256415356,16.988002394188367
3238656b-4917-4066-8f2c-4ff830f71724,10b70589-7ade-4b5e-809c-58d60f8a590d,20,1763649626937352344,1763649627017477344,80,1015.617,301.417,14.566504583242066,18.41739545388709
3238656b-4917-4066-8f2c-4ff830f71724,10b70589-7ade-4b5e-809c-58d60f8a590d,21,1763649627067477344,1763649627422852344,355,880.3,233.49,5.645391337385174,22.950712533988824
3238656b-4917-4066-8f2c-4ff830f71724,10b70589-7ade-4b5e-809c-58d60f8a590d,22,1763649627477852344,1763649627728117344,250,999.509,256.422,13.652187997672486,21.303655892716176
3238656b-4917-4066-8f2c-4ff830f71724,10b70589-7ade-4b5e-809c-58d60f8a590d,23,1763649627783118344,1763649628003351344,220,848.898,380.574,3.392874600780796,13.546852645599706
3238656b-4917-4066-8f2c-4ff830f71724,10b70589-7ade-4b5e-809c-58d60f8a590d,24,1763649628048476344,1763649628293601344,245,770.55,411.559,-1.7560594364051234,11.559751679421938
3238656b-4917-4066-8f2c-4ff830f71724,10b70589-7ade-4b5e-809c-58d60f8a590d,25,1763649628518851344,1763649628839101344,320,1013.212,203.958,14.813066138669035,24.59550207343885
3238656b-4917-4066-8f2c-4ff830f71724,10b70589-7ade-4b5e-809c-58d60f8a590d,26,1763649628869226344,1763649629129476344,260,993.382,219.466,13.38716506983276,23.660730870515998
